category_id,category_name,category_description,parent_category_id,level
cat2-2-2,Acoustic & Seismic Detection,"This micro-category is a specific startup lane under Ground-Based ISR. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-2,3
cat2-2-3,Battlefield Sensor Networks,"This micro-category is a specific startup lane under Ground-Based ISR. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-2,3
cat2-3,Data Analytics & Fusion,"This sub-category sits within Advanced ISR Technologies and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat2,2
cat2-3-1,Multi-Sensor Fusion Engines,"This micro-category is a specific startup lane under Data Analytics & Fusion. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-3,3
cat2-3-2,Automated Threat Classification,"This micro-category is a specific startup lane under Data Analytics & Fusion. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-3,3
cat2-3-3,Predictive Intelligence Models,"This micro-category is a specific startup lane under Data Analytics & Fusion. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-3,3
cat3,Military Cybersecurity,"Military cybersecurity startups protect defense systems, communications, and classified networks. They specialize in threat detection, zero-trust architectures, and operational technology security. Solutions address both cyber warfare and electronic intrusion risks. Many companies focus on protecting weapons platforms and mission-critical software. The sector increasingly intersects with AI-driven anomaly detection. Robust cyber resilience is fundamental to modern defense operations.",,1
cat3-1,Network Defense,"This sub-category sits within Military Cybersecurity and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat3,2
cat3-1-1,Zero-Trust Architectures,"This micro-category is a specific startup lane under Network Defense. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-1,3
cat3-1-2,Intrusion Detection Systems,"This micro-category is a specific startup lane under Network Defense. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-1,3
cat3-1-3,Secure Network Segmentation,"This micro-category is a specific startup lane under Network Defense. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-1,3
cat3-2,Operational Technology (OT) Security,"This sub-category sits within Military Cybersecurity and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat3,2
cat3-2-1,ICS/SCADA Protection,"This micro-category is a specific startup lane under Operational Technology (OT) Security. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-2,3
cat3-2-2,Embedded System Hardening,"This micro-category is a specific startup lane under Operational Technology (OT) Security. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-2,3
cat3-2-3,Mission System Security,"This micro-category is a specific startup lane under Operational Technology (OT) Security. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-2,3
cat3-3,Offensive & Defensive Cyber Ops,"This sub-category sits within Military Cybersecurity and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat3,2
cat3-3-1,Cyber Range Platforms,"This micro-category is a specific startup lane under Offensive & Defensive Cyber Ops. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-3,3
cat3-3-2,Adversarial Simulation Tools,"This micro-category is a specific startup lane under Offensive & Defensive Cyber Ops. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-3,3
cat3-3-3,Threat Intelligence Platforms,"This micro-category is a specific startup lane under Offensive & Defensive Cyber Ops. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat3-3,3
cat4,Electronic Warfare & Signal Intelligence,"This category includes startups developing electronic warfare and signal intelligence capabilities. Solutions focus on jamming, signal interception, and spectrum dominance. Companies work on protecting communications while disrupting adversary systems. Advanced radio frequency analytics and software-defined radios are core technologies. Civil aviation and telecom applications sometimes emerge from these innovations. The category enhances battlefield survivability and intelligence gathering.",,1
cat4-1,Spectrum Dominance,"This sub-category sits within Electronic Warfare & Signal Intelligence and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat4,2
cat4-1-1,RF Signal Mapping,"This micro-category is a specific startup lane under Spectrum Dominance. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-1,3
cat4-1-2,Adaptive Jamming Systems,"This micro-category is a specific startup lane under Spectrum Dominance. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-1,3
cat4-1-3,Anti-Jamming Countermeasures,"This micro-category is a specific startup lane under Spectrum Dominance. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-1,3
cat4-2,Signal Interception,"This sub-category sits within Electronic Warfare & Signal Intelligence and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat4,2
cat4-2-1,Software-Defined Radios,"This micro-category is a specific startup lane under Signal Interception. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-2,3
cat4-2-2,Communications Interception,"This micro-category is a specific startup lane under Signal Interception. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-2,3
cat4-2-3,Spectrum Analytics,"This micro-category is a specific startup lane under Signal Interception. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-2,3
cat4-3,Electromagnetic Protection,"This sub-category sits within Electronic Warfare & Signal Intelligence and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat4,2
cat4-3-1,Shielded Communications,"This micro-category is a specific startup lane under Electromagnetic Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-3,3
cat4-3-2,EMP Resilience Systems,"This micro-category is a specific startup lane under Electromagnetic Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-3,3
cat4-3-3,Secure RF Components,"This micro-category is a specific startup lane under Electromagnetic Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat4-3,3
cat5,Secure Communications & Encryption,"Secure communications startups build encrypted communication systems for military and government use. Technologies include secure radios, satellite links, and post-quantum encryption. Startups focus on maintaining secure channels in contested environments. Many integrate anti-jamming and redundancy features. Civil uses include critical infrastructure communications. The category ensures reliable coordination during high-stakes missions.",,1
cat5-1,Tactical Communications,"This sub-category sits within Secure Communications & Encryption and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat5,2
cat5-1-1,Secure Battlefield Radios,"This micro-category is a specific startup lane under Tactical Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-1,3
cat5-1-2,Encrypted Mesh Networks,"This micro-category is a specific startup lane under Tactical Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-1,3
cat5-1-3,Anti-Jamming Comms,"This micro-category is a specific startup lane under Tactical Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-1,3
cat5-2,Satellite Communications,"This sub-category sits within Secure Communications & Encryption and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat5,2
cat5-2-1,Military Satcom Terminals,"This micro-category is a specific startup lane under Satellite Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-2,3
cat5-2-2,Resilient Space Links,"This micro-category is a specific startup lane under Satellite Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-2,3
cat5-2-3,Tactical Data Links,"This micro-category is a specific startup lane under Satellite Communications. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-2,3
cat5-3,Advanced Cryptography,"This sub-category sits within Secure Communications & Encryption and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat5,2
cat5-3-1,Post-Quantum Encryption,"This micro-category is a specific startup lane under Advanced Cryptography. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-3,3
cat5-3-2,Hardware Encryption Modules,"This micro-category is a specific startup lane under Advanced Cryptography. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-3,3
cat5-3-3,Secure Key Management,"This micro-category is a specific startup lane under Advanced Cryptography. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat5-3,3
cat6,Defense AI & Decision Support,"Defense AI startups create decision-support systems for commanders and operators. These platforms process large volumes of battlefield data to generate insights. Applications include threat prediction, logistics optimization, and autonomous targeting assistance. Companies leverage machine learning for rapid response scenarios. Dual-use analytics can serve emergency services and homeland security. AI-enabled decision systems accelerate operational effectiveness.",,1
cat6-1,Command & Control AI,"This sub-category sits within Defense AI & Decision Support and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat6,2
cat6-1-1,Mission Planning Optimization,"This micro-category is a specific startup lane under Command & Control AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-1,3
cat6-1-2,Threat Prediction Systems,"This micro-category is a specific startup lane under Command & Control AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-1,3
cat6-1-3,AI-Assisted Targeting,"This micro-category is a specific startup lane under Command & Control AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-1,3
cat6-2,Logistics & Supply Chain AI,"This sub-category sits within Defense AI & Decision Support and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat6,2
cat6-2-1,Predictive Maintenance,"This micro-category is a specific startup lane under Logistics & Supply Chain AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-2,3
cat6-2-2,Autonomous Resupply Planning,"This micro-category is a specific startup lane under Logistics & Supply Chain AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-2,3
cat6-2-3,Inventory Optimization,"This micro-category is a specific startup lane under Logistics & Supply Chain AI. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-2,3
cat6-3,Real-Time Battlefield Analytics,"This sub-category sits within Defense AI & Decision Support and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat6,2
cat6-3-1,Situational Awareness Dashboards,"This micro-category is a specific startup lane under Real-Time Battlefield Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-3,3
cat6-3-2,AI-Based Alert Systems,"This micro-category is a specific startup lane under Real-Time Battlefield Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-3,3
cat6-3-3,Tactical Simulation Engines,"This micro-category is a specific startup lane under Real-Time Battlefield Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat6-3,3
cat7,Advanced Optics & Electro-Optical Systems,"Startups in advanced optics develop electro-optical sensors and targeting systems. Products include night vision, thermal imaging, and precision guidance optics. Many companies innovate in miniaturization and enhanced range detection. These systems are critical for air and ground platforms. Civilian applications include border surveillance and industrial inspection. The category supports enhanced visibility in complex operational conditions.",,1
cat7-1,Night & Thermal Vision,"This sub-category sits within Advanced Optics & Electro-Optical Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat7,2
cat7-1-1,Thermal Imaging Sensors,"This micro-category is a specific startup lane under Night & Thermal Vision. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-1,3
cat7-1-2,Infrared Targeting Systems,"This micro-category is a specific startup lane under Night & Thermal Vision. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-1,3
cat7-1-3,Low-Light Optics,"This micro-category is a specific startup lane under Night & Thermal Vision. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-1,3
cat7-2,Precision Targeting Systems,"This sub-category sits within Advanced Optics & Electro-Optical Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat7,2
cat7-2-1,Laser Guidance Systems,"This micro-category is a specific startup lane under Precision Targeting Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-2,3
cat7-2-2,Smart Optics Integration,"This micro-category is a specific startup lane under Precision Targeting Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-2,3
cat7-2-3,Fire Control Systems,"This micro-category is a specific startup lane under Precision Targeting Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-2,3
cat7-3,Miniaturized Optical Systems,"This sub-category sits within Advanced Optics & Electro-Optical Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat7,2
cat7-3-1,UAV Sensor Payloads,"This micro-category is a specific startup lane under Miniaturized Optical Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-3,3
cat7-3-2,Wearable Optics,"This micro-category is a specific startup lane under Miniaturized Optical Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-3,3
cat7-3-3,Compact Surveillance Cameras,"This micro-category is a specific startup lane under Miniaturized Optical Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat7-3,3
cat8,Space & Defense Satellites,Space-focused defense startups design satellite systems for secure communication and reconnaissance. Solutions include small satellite constellations and resilient space-based sensors. Companies improve redundancy against anti-satellite threats. Satellite data is integrated with ground and airborne assets. Commercial earth observation markets benefit from similar technologies. Space-based capabilities are becoming foundational to national security.,,1
cat8-1,Earth Observation,"This sub-category sits within Space & Defense Satellites and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat8,2
